31.186.239.246,8080
134.238.252.143,8080
31.186.239.244,8080
151.181.91.10,80
190.61.88.147,8080
194.87.188.114,8000
49.0.2.242,8090
172.105.216.60,443
85.195.104.71,80
75.126.253.8,8080
82.99.238.75,808
193.141.65.48,808
213.136.101.36,3128
119.8.236.97,3128
185.143.146.171,8080
34.140.197.165,8080
213.136.101.40,3128
93.114.194.26,1337
45.152.188.248,3128
103.255.241.190,55443
45.79.111.38,9994
45.33.12.251,8080
47.243.242.70,8080
45.56.89.227,8080
213.52.130.47,3128
172.105.25.190,8020
8.213.129.15,8080
102.130.192.231,8080
200.105.215.22,33630
149.56.233.29,3128
119.13.91.241,8118
45.152.188.16,3128
94.103.85.88,9300
190.160.181.220,8118
160.16.130.191,3128
181.176.211.168,8080
119.42.115.27,8080
68.183.230.116,39517
212.71.246.49,8080
47.74.64.65,8080
47.91.126.36,2080
149.129.179.23,8080
45.33.121.249,8080
103.178.43.104,8181
198.59.191.234,8080
103.165.253.129,3125
95.0.84.26,80
89.107.197.165,3128
49.0.251.56,80
103.178.43.102,8181
66.70.178.214,9300
89.85.119.151,8118
45.174.190.2,8080
47.91.104.193,8080
62.193.68.72,1976
191.252.195.53,8888
1.255.134.136,3128
210.179.58.236,80
85.14.243.31,3128
34.91.161.6,80
51.79.50.31,9300
154.236.184.84,1981
5.189.184.6,80
78.36.1.204,3128
149.129.239.170,8080
103.178.43.103,8181
62.78.48.203,8080
39.105.38.203,60080
125.99.58.110,3128
198.27.74.6,9300
41.65.236.43,1976
129.226.41.41,8080
129.159.145.39,3128
178.210.51.118,8080
157.100.12.138,999
129.226.162.177,443
182.18.83.42,7777
111.225.152.114,8089
172.105.172.220,3128
154.236.179.226,1981
80.251.246.157,8080
102.164.252.150,8080
154.236.168.179,1981
182.253.31.210,8080
190.186.1.177,999
47.252.1.180,3128
181.78.17.93,999
145.40.121.91,3128
145.40.121.73,3128
51.222.75.219,8080
92.247.2.26,21231
200.25.254.193,54240
187.94.16.59,39665
208.82.61.66,3128
86.120.122.3,3128
110.78.208.136,8080
114.32.39.12,8080
116.203.202.160,8443
64.225.97.57,8080
165.90.193.31,8080
